,tcompound,tdate,tneg,tneu,tpos,tsource,ttext
0,0.0,Sat Jul 21 19:43:05 +0000 2018,0.0,1.0,0.0,BBC News (UK),India scraps tampon tax after campaign https://t.co/wmNv2cEIJB
1,-0.7783,Sat Jul 21 19:40:53 +0000 2018,0.493,0.507,0.0,BBC News (UK),Ethiopian 'prophet' arrested after trying to resurrect corpse https://t.co/kFFzjPDUAx
2,-0.6249,Sat Jul 21 19:38:13 +0000 2018,0.439,0.382,0.178,BBC News (UK),Ballymena United anger over race car pitch damage https://t.co/7OTLOYPbVL
3,0.0,Sat Jul 21 19:12:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),Jordan Spieth leads The Open as Tiger Woods moves into contention https://t.co/gk9B7cIZOh
4,0.5719,Sat Jul 21 19:10:06 +0000 2018,0.0,0.791,0.209,BBC News (UK),"Tour de France 2018: Omar Fraile wins stage 14, Geraint Thomas still in yellow https://t.co/xOjWnH6PWK"
5,0.296,Sat Jul 21 16:58:22 +0000 2018,0.0,0.694,0.306,BBC News (UK),Government admits rabies poster gaffe https://t.co/6yljjjWXvp
6,0.0,Sat Jul 21 14:54:31 +0000 2018,0.0,1.0,0.0,BBC News (UK),James Gunn: Dave Bautista defends Guardians of the Galaxy director https://t.co/K4iX4SAfJ5
7,-0.0972,Sat Jul 21 14:42:20 +0000 2018,0.237,0.557,0.207,BBC News (UK),Tanyalee Davis: More train trouble for disabled comedian https://t.co/C8CAWEy4B9
8,-0.4404,Sat Jul 21 14:30:46 +0000 2018,0.244,0.756,0.0,BBC News (UK),Trump attacks Michael Cohen over 'Playboy model payment tape' https://t.co/sm4Qh2plVv
9,0.0,Sat Jul 21 14:20:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),The Open 2018: Justin Rose shoots 64 at Carnoustie https://t.co/hoWz5Hqkim
10,0.0,Sat Jul 21 14:01:15 +0000 2018,0.0,1.0,0.0,BBC News (UK),Newsreader's debut wearing hearing aid https://t.co/c0MqrGTHcU
11,0.0,Sat Jul 21 13:53:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),M1 breakdown driver 'had somewhere to be' https://t.co/h2TXjhxiXL
12,0.0,Sat Jul 21 13:18:45 +0000 2018,0.0,1.0,0.0,BBC News (UK),Buffy the Vampire Slayer to get TV reboot https://t.co/tjVqNtlgRs
13,0.5106,Sat Jul 21 13:13:28 +0000 2018,0.0,0.736,0.264,BBC News (UK),Richarlison: Everton close to agreeing deal worth up to £50m for Watford forward https://t.co/7oMCWuE9xd
14,-0.2732,Sat Jul 21 12:13:15 +0000 2018,0.208,0.792,0.0,BBC News (UK),Sri Lanka's Galle cricket stadium risks being demolished https://t.co/neiDNI61Kj
15,0.3182,Sat Jul 21 11:12:54 +0000 2018,0.0,0.753,0.247,BBC News (UK),Toblerone: Bar to revert to original shape https://t.co/8qx2xSGjsD
16,-0.9169,Sat Jul 21 10:23:51 +0000 2018,0.641,0.287,0.072,BBC News (UK),Brett Lowe prison death: Man charged with HMP Nottingham killing https://t.co/nfEiTv8X4b
17,-0.296,Sat Jul 21 09:43:41 +0000 2018,0.239,0.761,0.0,BBC News (UK),Japan heatwave: Warnings issued amid scorching temperatures https://t.co/aL54hpDEnM
18,0.0,Sat Jul 21 09:11:04 +0000 2018,0.0,1.0,0.0,BBC News (UK),Sir Tom Jones 'determined' to return to performing https://t.co/D5eZOipq9L
19,-0.8442,Sat Jul 21 08:41:35 +0000 2018,0.503,0.497,0.0,BBC News (UK),Ohio death row inmate spared after childhood abuse revelations https://t.co/YqR2l3BwQ0
20,-0.296,Sat Jul 21 00:55:28 +0000 2018,0.109,0.891,0.0,CBS,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…
21,-0.296,Sat Jul 21 00:19:12 +0000 2018,0.109,0.891,0.0,CBS,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…
22,-0.7964,Sat Jul 21 00:10:00 +0000 2018,0.264,0.736,0.0,CBS,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX"
23,-0.6597,Fri Jul 20 23:44:54 +0000 2018,0.18,0.82,0.0,CBS,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy
24,0.3182,Fri Jul 20 22:29:36 +0000 2018,0.0,0.905,0.095,CBS,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…"
25,0.0,Fri Jul 20 21:39:09 +0000 2018,0.0,1.0,0.0,CBS,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT
26,0.0,Fri Jul 20 15:08:23 +0000 2018,0.0,1.0,0.0,CBS,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr"
27,0.0,Tue Jul 17 17:55:25 +0000 2018,0.0,1.0,0.0,CBS,🤰👩‍👧🚫🍸 #WorldEmojiDay
28,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,👨📝✔️ #WorldEmojiDay
29,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,👩‍💼💼🇺🇸 #WorldEmojiDay
30,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,🕵️🕵️‍♀️ #WorldEmojiDay
31,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,⚓️🦅🇺🇸 #WorldEmojiDay
32,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,🏄🌴🚔 #WorldEmojiDay
33,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,💙👮🍽 #WorldEmojiDay
34,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,💣📎 #WorldEmojiDay
35,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,🌎☄️ #WorldEmojiDay
36,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,🏷💰🎰 #WorldEmojiDay
37,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,👶😴🚫 #WorldEmojiDay
38,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,🤝💼💰 #WorldEmojiDay
39,0.0,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,CBS,💄👠📷 #WorldEmojiDay
40,0.5574,Sat Jul 21 21:00:11 +0000 2018,0.0,0.816,0.184,CNN,Why Supreme Court nominee Brett Kavanaugh needs to brush up on his Watergate history https://t.co/O9z6wTDBO7 (via… https://t.co/Po2XR4cMcm
41,0.0,Sat Jul 21 20:45:05 +0000 2018,0.0,1.0,0.0,CNN,Democratic governors set to take on the bigger names in 2020 race https://t.co/8fHdmdAJPJ https://t.co/VQeC82deDY
42,-0.2732,Sat Jul 21 20:30:13 +0000 2018,0.149,0.851,0.0,CNN,NYPD files formal departmental charges against officers in Eric Garner case https://t.co/vGVhWB1yoN https://t.co/bnGe3TQCyY
43,0.0258,Sat Jul 21 20:15:05 +0000 2018,0.192,0.613,0.195,CNN,A minimum fealty to the truth demands that the United Nations condemn Hamas by name for firing rockets into Israel… https://t.co/oZY6CeRuDU
44,-0.3612,Sat Jul 21 20:00:09 +0000 2018,0.152,0.848,0.0,CNN,"President Trump is right: Britain is in turmoil, writes Jane Merrick for @CNNOpinion https://t.co/PoabgBCdIJ https://t.co/sGG5Pmuaar"
45,-0.4215,Sat Jul 21 19:45:05 +0000 2018,0.177,0.823,0.0,CNN,"With EPA rule change, worries linger for those near coal ash ponds https://t.co/iTAym7SdNQ https://t.co/Yd7rFTaMdS"
46,0.0,Sat Jul 21 19:30:07 +0000 2018,0.0,1.0,0.0,CNN,A look back at Air Force One's classic design https://t.co/ROFn9l04OJ https://t.co/7ODZm1bLxM
47,-0.296,Sat Jul 21 19:15:06 +0000 2018,0.167,0.833,0.0,CNN,Man accused of carrying out shooting at Maryland newspaper indicted https://t.co/Aedg8wWMnY https://t.co/axV9JVnlyD
48,0.3612,Sat Jul 21 19:00:11 +0000 2018,0.0,0.848,0.152,CNN,President Trump's lawyers have waived attorney-client privilege regarding a secretly recorded discussion he had in… https://t.co/s2Vp4wp7ZL
49,0.5413,Sat Jul 21 18:45:06 +0000 2018,0.0,0.845,0.155,CNN,Australian racing driver Daniel Ricciardo says this year's F1 title race is the most exciting it's been for years… https://t.co/r4FqVhDf56
50,-0.3182,Sat Jul 21 18:30:13 +0000 2018,0.108,0.892,0.0,CNN,"Republican leaders need to remember what happened the last time America chose to be isolated, writes Susan Dunn for… https://t.co/G5X9u2kx84"
51,0.0,Sat Jul 21 18:15:08 +0000 2018,0.0,1.0,0.0,CNN,Thailand slams foreign media for interviewing cave boys https://t.co/mQ77N1RpLo https://t.co/7cVYJohodf
52,0.5106,Sat Jul 21 18:00:11 +0000 2018,0.0,0.82,0.18,CNN,Baby girl born in Texas Chick-fil-A gets free food for life and a future job https://t.co/gPcd5Vs8h5 https://t.co/LvU1nddzBa
53,-0.2263,Sat Jul 21 17:45:07 +0000 2018,0.137,0.863,0.0,CNN,Gaza truce shaky after Israeli tank responds to reported fence breach https://t.co/IO50kxSkDF https://t.co/NM6pIV0B5F
54,0.0,Sat Jul 21 17:30:08 +0000 2018,0.0,1.0,0.0,CNN,New York Gov. Andrew Cuomo's large lead against candidate Cynthia Nixon in the upcoming gubernatorial primary is em… https://t.co/FzIqGJpjqp
55,0.0,Sat Jul 21 17:15:06 +0000 2018,0.0,1.0,0.0,CNN,The age of Alexandria Ocasio-Cortez https://t.co/nAfXUYIpB2 | Analysis by Gregory Krieg https://t.co/QeNO8434Xl
56,0.2023,Sat Jul 21 17:00:09 +0000 2018,0.0,0.87,0.13,CNN,"Treasury Secretary Steven Mnuchin says President Trump ""supports"" the Federal Reserve's independence… https://t.co/iWEb2WsdYw"
57,0.6705,Sat Jul 21 16:45:09 +0000 2018,0.0,0.744,0.256,CNN,Spain's right-wing Popular Party has elected 37-year-old Pablo Casado Blanco as its new leader at an extraordinary… https://t.co/QwFVd0OBJd
58,-0.6597,Sat Jul 21 16:30:02 +0000 2018,0.227,0.773,0.0,CNN,"It could take a year to get answers on the duck boat tragedy, official says https://t.co/yjdMUXKIY3 https://t.co/nfM7rOPpA9"
59,0.5719,Sat Jul 21 16:15:04 +0000 2018,0.0,0.791,0.209,CNN,"Why we should ditch the ""perfect woman"" myth, writes Reshma Saujani for @CNNOpinion https://t.co/q6kMx4AHar https://t.co/qlE5QOtgLx"
60,0.0,Sat Jul 21 21:12:29 +0000 2018,0.0,1.0,0.0,Fox News,"Millennials choosing ‘Instagrammable’ destinations for next trip, survey says
https://t.co/yonP7ZRgjE"
61,-0.34,Sat Jul 21 21:10:11 +0000 2018,0.167,0.833,0.0,Fox News,"Police officer goes the extra mile, carries woman's groceries uphill after fire https://t.co/ZIynGUZMJj"
62,0.0,Sat Jul 21 21:07:59 +0000 2018,0.0,1.0,0.0,Fox News,Mueller team wants to question Roger Stone associate Kristin Davis as part of Russia probe; @Garrett_FoxNews report… https://t.co/Mkvo6Xberg
63,0.0,Sat Jul 21 21:05:00 +0000 2018,0.0,1.0,0.0,Fox News,".@RepDeSantis: ""Putin meddled because he knew he could get away with it under Obama."" https://t.co/9tQ1EithoX"
64,0.0,Sat Jul 21 21:00:01 +0000 2018,0.0,1.0,0.0,Fox News,.@JoeBiden: “This administration’s policies that literally rip babies from the arms of their mothers and fathers -… https://t.co/0stKhBKI9u
65,0.5423,Sat Jul 21 20:57:03 +0000 2018,0.093,0.651,0.256,Fox News,Virginia auto tech hailed as hero after rescuing kitten stuck in car fender for 45 miles https://t.co/biuhOV9NRy
66,0.6369,Sat Jul 21 20:54:22 +0000 2018,0.0,0.802,0.198,Fox News,"The dating swamp: How finding love in DC may be impossible for young Trump and GOP staffers
https://t.co/sPv5lwgmdH"
67,0.34,Sat Jul 21 20:51:36 +0000 2018,0.0,0.844,0.156,Fox News,"On ""Cavuto Live,"" former ICE Director Thomas Homan discussed border security policy. https://t.co/sW0LdsyGAj https://t.co/Y8ePSsJvit"
68,-0.5106,Sat Jul 21 20:49:20 +0000 2018,0.18,0.82,0.0,Fox News,"Turkish court orders U.S. pastor to remain in prison, next trial date set for October. https://t.co/UAUXtsh8Ci"
69,-0.9081,Sat Jul 21 20:47:09 +0000 2018,0.487,0.513,0.0,Fox News,Suspect in murder of Hawaii police officer killed in shootout with law enforcement https://t.co/9ZVz1V5Qcm https://t.co/3rcJiAmdwo
70,-0.8834,Sat Jul 21 20:40:10 +0000 2018,0.585,0.415,0.0,Fox News,Dallas officer killed by suspected drunk driver while on funeral escort https://t.co/mVWs18CGHZ
71,0.796,Sat Jul 21 20:37:06 +0000 2018,0.083,0.604,0.313,Fox News,".@RepMcCaul: ""The tax cuts have been very successful. They've primed this economy, one of the best economies we've… https://t.co/5RQMT4ZWub"
72,-0.4019,Sat Jul 21 20:34:31 +0000 2018,0.162,0.838,0.0,Fox News,Lou Holtz: Players 'Hurting the Future' by Kneeling for National Anthem Before NFL Games https://t.co/pIhx0MCfV2
73,0.0,Sat Jul 21 20:32:53 +0000 2018,0.0,1.0,0.0,Fox News,Maine beachgoers find decomposing body of possible basking shark: 'It was foul' https://t.co/NxZ7rfwo8h
74,-0.5859,Sat Jul 21 20:29:20 +0000 2018,0.304,0.696,0.0,Fox News,"Republicans, Democrats look to use Kavanaugh nomination as weapon in midterm fight
https://t.co/5BVLBQLwiH"
75,0.0,Sat Jul 21 20:27:00 +0000 2018,0.0,1.0,0.0,Fox News,".@GovMikeHuckabee: ""The people that serve us in the police agencies do so overworked, underpaid, underappreciated,… https://t.co/B9R7WipqUW"
76,0.0,Sat Jul 21 20:24:00 +0000 2018,0.0,1.0,0.0,Fox News,"Sunday at 8p ET: Watch a revealing interview with @Aerosmith frontman @IamStevenT on 'OBJECTified,' hosted by… https://t.co/47Narkg9yG"
77,0.0,Sat Jul 21 20:22:10 +0000 2018,0.0,1.0,0.0,Fox News,Historic plane crashes at Texas airport; 13 passengers onboard survive https://t.co/gYvRQb5lYc
78,-0.3182,Sat Jul 21 20:17:47 +0000 2018,0.173,0.827,0.0,Fox News,"Man loses 280 pounds in two years after walking 6,000 miles https://t.co/OwzB3AKoHW"
79,-0.5574,Sat Jul 21 20:14:25 +0000 2018,0.265,0.735,0.0,Fox News,"Trump calls Cohen's taping of phone call 'inconceivable,' possibly illegal https://t.co/DsXMvZSiob"
80,-0.6705,Sat Jul 21 21:00:11 +0000 2018,0.302,0.698,0.0,The New York Times,"On Monday, Israel's Parliament blocked critical groups from speaking in schools. 

On Tuesday, it cut off Palestini… https://t.co/2uGUbQ7MD6"
81,0.3612,Sat Jul 21 20:45:05 +0000 2018,0.0,0.839,0.161,The New York Times,"China is ready for the future, even if the future hasn’t quite arrived https://t.co/NnRydRzZVs"
82,0.4588,Sat Jul 21 20:30:11 +0000 2018,0.0,0.857,0.143,The New York Times,Kristin Davis said she didn't believe that Robert Mueller's interest had to do with her running a prostitution serv… https://t.co/J8Nj2Fm90T
83,-0.296,Sat Jul 21 20:15:05 +0000 2018,0.128,0.872,0.0,The New York Times,"A transgender woman said that a CVS pharmacist refused to fill a prescription for hormone therapy. CVS apologized,… https://t.co/n3mvTky7rd"
84,0.7717,Sat Jul 21 20:00:12 +0000 2018,0.0,0.729,0.271,The New York Times,This one pot coconut-poached fish with bok choy dish couldn’t be easier to assemble (and it looks beautiful too)… https://t.co/8aabgkGo3i
85,-0.8658,Sat Jul 21 19:47:47 +0000 2018,0.35,0.65,0.0,The New York Times,"The ""crying Nazi"" has been barred from Virginia for 5 years: He pleaded guilty to 2 counts of assault and battery a… https://t.co/Dyvnl2wNDu"
86,0.3321,Sat Jul 21 19:30:07 +0000 2018,0.0,0.878,0.122,The New York Times,Prosecutors believe that American Media Inc. acted more as a political supporter than as a news organization as it… https://t.co/f2RMu70uHf
87,0.121,Sat Jul 21 19:15:04 +0000 2018,0.133,0.71,0.157,The New York Times,It rarely pays to be loyal in the NBA these days. Clipper Darrell doesn't care. https://t.co/F0vZmFwcY9
88,0.296,Sat Jul 21 19:00:06 +0000 2018,0.0,0.761,0.239,The New York Times,"Before creating a multigenerational home, do your research https://t.co/o2uztOpT4i"
89,0.8271,Sat Jul 21 18:45:07 +0000 2018,0.0,0.697,0.303,The New York Times,"Tut tut, it looks like rain. Here are 33 New York cultural institutions you can visit for free, all thanks to your… https://t.co/VICG5bvroI"
90,0.6072,Sat Jul 21 18:30:09 +0000 2018,0.0,0.802,0.198,The New York Times,When's the confirmation for Supreme Court nominee Brett Kavanaugh? What's happened since the announcement? Get caug… https://t.co/YvlNo0wlZN
91,-0.4767,Sat Jul 21 18:15:07 +0000 2018,0.134,0.866,0.0,The New York Times,"In Opinion

Op-Ed columnist Frank Bruni writes, ""We got it wrong in 2016. We can get it right in 2018."" https://t.co/AAjuEBhpiF"
92,0.0,Sat Jul 21 18:00:11 +0000 2018,0.0,1.0,0.0,The New York Times,Experience in augmented reality the hazards that rescuers faced in a Thai cave as they brought 12 boys and their so… https://t.co/PbiUK0Htu3
93,0.5994,Sat Jul 21 17:45:06 +0000 2018,0.0,0.606,0.394,The New York Times,The Iron Lady loved teddy bears https://t.co/KnBfUGHy0C
94,-0.2023,Sat Jul 21 17:30:06 +0000 2018,0.079,0.921,0.0,The New York Times,"2 men were charged in the theft of $8 million in rare books and items from a Pittsburgh library, in a scheme that l… https://t.co/AnSGZBFzEY"
95,0.2263,Sat Jul 21 17:15:06 +0000 2018,0.0,0.899,0.101,The New York Times,"Fiat Chrysler’s CEO, Sergio Marchionne, is stepping down for health reasons. His successor, Mike Manley, leads the… https://t.co/i7WRnqNoTu"
96,-0.7351,Sat Jul 21 17:00:08 +0000 2018,0.237,0.763,0.0,The New York Times,"In Opinion 

Beth Macy writes, ""Only in death are those who are addicted seen as victims, as patients who might hav… https://t.co/tyCYm4g3F1"
97,-0.4019,Sat Jul 21 16:45:08 +0000 2018,0.162,0.838,0.0,The New York Times,"The Brazilian military’s push into politics is a major shift — and for many, a worrisome one https://t.co/Quk9NmEMbb"
98,0.0,Sat Jul 21 16:30:06 +0000 2018,0.0,1.0,0.0,The New York Times,Despite the dramatic overhaul of the city’s leadership following the deadly white nationalist rally in Charlottesvi… https://t.co/dwAE0BOROy
99,0.34,Sat Jul 21 16:15:03 +0000 2018,0.0,0.862,0.138,The New York Times,The national security establishment appears to be following a radically different Russia policy than the president https://t.co/5v8Vx4v6Zo
100,0.0,Sat Jul 21 19:43:05 +0000 2018,0.0,1.0,0.0,BBC News (UK),India scraps tampon tax after campaign https://t.co/wmNv2cEIJB
101,-0.7783,Sat Jul 21 19:40:53 +0000 2018,0.493,0.507,0.0,BBC News (UK),Ethiopian 'prophet' arrested after trying to resurrect corpse https://t.co/kFFzjPDUAx
102,-0.6249,Sat Jul 21 19:38:13 +0000 2018,0.439,0.382,0.178,BBC News (UK),Ballymena United anger over race car pitch damage https://t.co/7OTLOYPbVL
103,0.0,Sat Jul 21 19:12:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),Jordan Spieth leads The Open as Tiger Woods moves into contention https://t.co/gk9B7cIZOh
104,0.5719,Sat Jul 21 19:10:06 +0000 2018,0.0,0.791,0.209,BBC News (UK),"Tour de France 2018: Omar Fraile wins stage 14, Geraint Thomas still in yellow https://t.co/xOjWnH6PWK"
105,0.296,Sat Jul 21 16:58:22 +0000 2018,0.0,0.694,0.306,BBC News (UK),Government admits rabies poster gaffe https://t.co/6yljjjWXvp
106,0.0,Sat Jul 21 14:54:31 +0000 2018,0.0,1.0,0.0,BBC News (UK),James Gunn: Dave Bautista defends Guardians of the Galaxy director https://t.co/K4iX4SAfJ5
107,-0.0972,Sat Jul 21 14:42:20 +0000 2018,0.237,0.557,0.207,BBC News (UK),Tanyalee Davis: More train trouble for disabled comedian https://t.co/C8CAWEy4B9
108,-0.4404,Sat Jul 21 14:30:46 +0000 2018,0.244,0.756,0.0,BBC News (UK),Trump attacks Michael Cohen over 'Playboy model payment tape' https://t.co/sm4Qh2plVv
109,0.0,Sat Jul 21 14:20:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),The Open 2018: Justin Rose shoots 64 at Carnoustie https://t.co/hoWz5Hqkim
110,0.0,Sat Jul 21 14:01:15 +0000 2018,0.0,1.0,0.0,BBC News (UK),Newsreader's debut wearing hearing aid https://t.co/c0MqrGTHcU
111,0.0,Sat Jul 21 13:53:25 +0000 2018,0.0,1.0,0.0,BBC News (UK),M1 breakdown driver 'had somewhere to be' https://t.co/h2TXjhxiXL
112,0.0,Sat Jul 21 13:18:45 +0000 2018,0.0,1.0,0.0,BBC News (UK),Buffy the Vampire Slayer to get TV reboot https://t.co/tjVqNtlgRs
113,0.5106,Sat Jul 21 13:13:28 +0000 2018,0.0,0.736,0.264,BBC News (UK),Richarlison: Everton close to agreeing deal worth up to £50m for Watford forward https://t.co/7oMCWuE9xd
114,-0.2732,Sat Jul 21 12:13:15 +0000 2018,0.208,0.792,0.0,BBC News (UK),Sri Lanka's Galle cricket stadium risks being demolished https://t.co/neiDNI61Kj
115,0.3182,Sat Jul 21 11:12:54 +0000 2018,0.0,0.753,0.247,BBC News (UK),Toblerone: Bar to revert to original shape https://t.co/8qx2xSGjsD
116,-0.9169,Sat Jul 21 10:23:51 +0000 2018,0.641,0.287,0.072,BBC News (UK),Brett Lowe prison death: Man charged with HMP Nottingham killing https://t.co/nfEiTv8X4b
117,-0.296,Sat Jul 21 09:43:41 +0000 2018,0.239,0.761,0.0,BBC News (UK),Japan heatwave: Warnings issued amid scorching temperatures https://t.co/aL54hpDEnM
118,0.0,Sat Jul 21 09:11:04 +0000 2018,0.0,1.0,0.0,BBC News (UK),Sir Tom Jones 'determined' to return to performing https://t.co/D5eZOipq9L
119,-0.8442,Sat Jul 21 08:41:35 +0000 2018,0.503,0.497,0.0,BBC News (UK),Ohio death row inmate spared after childhood abuse revelations https://t.co/YqR2l3BwQ0
120,-0.296,Sat Jul 21 00:55:28 +0000 2018,0.109,0.891,0.0,CBS,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…
121,-0.296,Sat Jul 21 00:19:12 +0000 2018,0.109,0.891,0.0,CBS,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…
122,-0.7964,Sat Jul 21 00:10:00 +0000 2018,0.264,0.736,0.0,CBS,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX"
123,-0.6597,Fri Jul 20 23:44:54 +0000 2018,0.18,0.82,0.0,CBS,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy
124,0.3182,Fri Jul 20 22:29:36 +0000 2018,0.0,0.905,0.095,CBS,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…"
125,0.0,Fri Jul 20 21:39:09 +0000 2018,0.0,1.0,0.0,CBS,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT
126,0.0,Fri Jul 20 15:08:23 +0000 2018,0.0,1.0,0.0,CBS,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr"
127,0.0,Tue Jul 17 17:55:25 +0000 2018,0.0,1.0,0.0,CBS,🤰👩‍👧🚫🍸 #WorldEmojiDay
128,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,👨📝✔️ #WorldEmojiDay
129,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,👩‍💼💼🇺🇸 #WorldEmojiDay
130,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,🕵️🕵️‍♀️ #WorldEmojiDay
131,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,⚓️🦅🇺🇸 #WorldEmojiDay
132,0.0,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,CBS,🏄🌴🚔 #WorldEmojiDay
133,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,💙👮🍽 #WorldEmojiDay
134,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,💣📎 #WorldEmojiDay
135,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,🌎☄️ #WorldEmojiDay
136,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,🏷💰🎰 #WorldEmojiDay
137,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,👶😴🚫 #WorldEmojiDay
138,0.0,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,CBS,🤝💼💰 #WorldEmojiDay
139,0.0,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,CBS,💄👠📷 #WorldEmojiDay
140,0.5574,Sat Jul 21 21:00:11 +0000 2018,0.0,0.816,0.184,CNN,Why Supreme Court nominee Brett Kavanaugh needs to brush up on his Watergate history https://t.co/O9z6wTDBO7 (via… https://t.co/Po2XR4cMcm
141,0.0,Sat Jul 21 20:45:05 +0000 2018,0.0,1.0,0.0,CNN,Democratic governors set to take on the bigger names in 2020 race https://t.co/8fHdmdAJPJ https://t.co/VQeC82deDY
142,-0.2732,Sat Jul 21 20:30:13 +0000 2018,0.149,0.851,0.0,CNN,NYPD files formal departmental charges against officers in Eric Garner case https://t.co/vGVhWB1yoN https://t.co/bnGe3TQCyY
143,0.0258,Sat Jul 21 20:15:05 +0000 2018,0.192,0.613,0.195,CNN,A minimum fealty to the truth demands that the United Nations condemn Hamas by name for firing rockets into Israel… https://t.co/oZY6CeRuDU
144,-0.3612,Sat Jul 21 20:00:09 +0000 2018,0.152,0.848,0.0,CNN,"President Trump is right: Britain is in turmoil, writes Jane Merrick for @CNNOpinion https://t.co/PoabgBCdIJ https://t.co/sGG5Pmuaar"
145,-0.4215,Sat Jul 21 19:45:05 +0000 2018,0.177,0.823,0.0,CNN,"With EPA rule change, worries linger for those near coal ash ponds https://t.co/iTAym7SdNQ https://t.co/Yd7rFTaMdS"
146,0.0,Sat Jul 21 19:30:07 +0000 2018,0.0,1.0,0.0,CNN,A look back at Air Force One's classic design https://t.co/ROFn9l04OJ https://t.co/7ODZm1bLxM
147,-0.296,Sat Jul 21 19:15:06 +0000 2018,0.167,0.833,0.0,CNN,Man accused of carrying out shooting at Maryland newspaper indicted https://t.co/Aedg8wWMnY https://t.co/axV9JVnlyD
148,0.3612,Sat Jul 21 19:00:11 +0000 2018,0.0,0.848,0.152,CNN,President Trump's lawyers have waived attorney-client privilege regarding a secretly recorded discussion he had in… https://t.co/s2Vp4wp7ZL
149,0.5413,Sat Jul 21 18:45:06 +0000 2018,0.0,0.845,0.155,CNN,Australian racing driver Daniel Ricciardo says this year's F1 title race is the most exciting it's been for years… https://t.co/r4FqVhDf56
150,-0.3182,Sat Jul 21 18:30:13 +0000 2018,0.108,0.892,0.0,CNN,"Republican leaders need to remember what happened the last time America chose to be isolated, writes Susan Dunn for… https://t.co/G5X9u2kx84"
