,tcompound,tdate,tneg,tneu,tpos,tsource,ttext
492,-0.0772,Sat Jul 21 02:02:03 +0000 2018,0.187,0.677,0.135,The New York Times,President Trump accused China and the European Union of manipulating their currencies to gain an edge in global tra… https://t.co/MyUC7QMPjk
493,0.0,Sat Jul 21 01:47:02 +0000 2018,0.0,1.0,0.0,The New York Times,"These photos examine the state of coral ecosystems around the world, along with the circumstances — climate change,… https://t.co/cXdo1LYLHk"
494,0.0,Sat Jul 21 01:32:04 +0000 2018,0.0,1.0,0.0,The New York Times,Here's what it takes to get an abortion in two U.S. states with distinct approaches https://t.co/YdYeGshdBZ
495,-0.2263,Sat Jul 21 01:17:06 +0000 2018,0.091,0.909,0.0,The New York Times,RT @NYTSports: Pedro Guerrero (not that one) would prefer it if you stopped mailing him Pedro Guerrero's baseball cards https://t.co/Thv3PE…
496,0.0,Sat Jul 21 01:02:05 +0000 2018,0.0,1.0,0.0,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/bDfwhPYLgi
497,0.3612,Sat Jul 21 00:47:05 +0000 2018,0.0,0.706,0.294,The New York Times,Scientists urge sending thank you notes https://t.co/eUyYgZQqbE
498,-0.3716,Sat Jul 21 00:32:04 +0000 2018,0.13,0.87,0.0,The New York Times,"French researchers say they have found the imprint of Fukushima's nuclear disaster in California wine, but radioact… https://t.co/FhNq0NhQof"
499,-0.5106,Sat Jul 21 00:17:04 +0000 2018,0.177,0.823,0.0,The New York Times,"RT @nytopinion: If the N.R.A. turns out to be compromised by Russia, it would shake conservative politics to their foundation, argues @mich…"
500,0.5574,Sat Jul 21 21:00:11 +0000 2018,0.0,0.816,0.184,CNN,Why Supreme Court nominee Brett Kavanaugh needs to brush up on his Watergate history https://t.co/O9z6wTDBO7 (via… https://t.co/Po2XR4cMcm
501,0.0,Sat Jul 21 20:45:05 +0000 2018,0.0,1.0,0.0,CNN,Democratic governors set to take on the bigger names in 2020 race https://t.co/8fHdmdAJPJ https://t.co/VQeC82deDY
502,-0.2732,Sat Jul 21 20:30:13 +0000 2018,0.149,0.851,0.0,CNN,NYPD files formal departmental charges against officers in Eric Garner case https://t.co/vGVhWB1yoN https://t.co/bnGe3TQCyY
503,0.0258,Sat Jul 21 20:15:05 +0000 2018,0.192,0.613,0.195,CNN,A minimum fealty to the truth demands that the United Nations condemn Hamas by name for firing rockets into Israel… https://t.co/oZY6CeRuDU
504,-0.3612,Sat Jul 21 20:00:09 +0000 2018,0.152,0.848,0.0,CNN,"President Trump is right: Britain is in turmoil, writes Jane Merrick for @CNNOpinion https://t.co/PoabgBCdIJ https://t.co/sGG5Pmuaar"
